vessel_record_id,ssvid,n_shipname,n_callsign,imo,flag,authorized_from,authorized_to,source_code
CCSBT-FV04888|IDN-19461|IMO-8527822|IOTC-3763,525800746,BANDARNELAYAN31,YE5653,8527822,IDN,2019-06-19 00:00:00 UTC,2022-07-01 00:00:00 UTC,CCSBT
CCSBT-FV04888|IDN-19461|IMO-8527822|IOTC-3763,525800746,BANDARNELAYAN31,YE5653,8527822,IDN,2012-01-01 00:00:00 UTC,2018-12-22 00:00:00 UTC,IOTC
CCSBT-FV04888|IDN-19461|IMO-8527822|IOTC-3763,525800746,BANDARNELAYAN31,YE5653,8527822,IDN,2019-06-19 00:00:00 UTC,2022-07-01 00:00:00 UTC,IOTC
CCSBT-FV04890|IOTC-3764,525800135,BANDARNELAYAN2,YE3106,,IDN,2012-01-01 00:00:00 UTC,2015-09-18 00:00:00 UTC,CCSBT
CCSBT-FV04890|IOTC-3764,525800135,BANDARNELAYAN2,YE3106,,IDN,2012-01-01 00:00:00 UTC,2015-09-19 00:00:00 UTC,IOTC
CCSBT-FV04891|IDN-19318|IOTC-3765,525800751,BANDARNELAYAN3,YE3105,,IDN,2012-01-01 00:00:00 UTC,2016-09-02 00:00:00 UTC,CCSBT
CCSBT-FV04891|IDN-19318|IOTC-3765,525800751,BANDARNELAYAN3,YE3105,,IDN,2012-01-01 00:00:00 UTC,2016-09-03 00:00:00 UTC,IOTC
CCSBT-FV04892|IDN-19460|IMO-8526476|IOTC-3772,525800754,BANDARNELAYAN6,YE5614,8526476,IDN,2012-01-01 00:00:00 UTC,2019-03-08 00:00:00 UTC,CCSBT
CCSBT-FV04892|IDN-19460|IMO-8526476|IOTC-3772,525800754,BANDARNELAYAN6,YE5614,8526476,IDN,2019-09-12 00:00:00 UTC,2022-07-01 00:00:00 UTC,CCSBT
CCSBT-FV04892|IDN-19460|IMO-8526476|IOTC-3772,525800754,BANDARNELAYAN6,YE5614,8526476,IDN,2012-01-01 00:00:00 UTC,2019-03-08 00:00:00 UTC,IOTC
CCSBT-FV04892|IDN-19460|IMO-8526476|IOTC-3772,525800754,BANDARNELAYAN6,YE5614,8526476,IDN,2020-08-14 00:00:00 UTC,2022-07-01 00:00:00 UTC,IOTC
CCSBT-FV04893|IMO-9833474|IOTC-2416,525600295,BANDARNELAYAN12,YE5616,9833474,IDN,2012-01-01 00:00:00 UTC,2020-11-01 00:00:00 UTC,CCSBT
CCSBT-FV04893|IMO-9833474|IOTC-2416,525600295,BANDARNELAYAN12,YE5616,9833474,IDN,2021-12-15 00:00:00 UTC,2022-07-01 00:00:00 UTC,CCSBT
CCSBT-FV04893|IMO-9833474|IOTC-2416,525600295,BANDARNELAYAN12,YE5616,9833474,IDN,2012-01-01 00:00:00 UTC,2016-09-19 00:00:00 UTC,IOTC
CCSBT-FV04893|IMO-9833474|IOTC-2416,525600295,BANDARNELAYAN12,YE5616,9833474,IDN,2017-08-25 00:00:00 UTC,2019-09-03 00:00:00 UTC,IOTC
